鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
萬華區,108,1120504,全,透天厝,492
中山區,19.15,1120510,五層,住宅大樓(11層含以上有電梯),426
南港區,38.43,1120512,二層,公寓(5樓含以下無電梯),295
文山區,32.3,1120512,三層,公寓(5樓含以下無電梯),198
內湖區,58.48,1120406,五層,廠辦,412
中正區,6.91,1120408,一層,住宅大樓(11層含以上有電梯),706
萬華區,103.28,1120426,全,透天厝,629
中正區,4.11,1120517,五層,住宅大樓(11層含以上有電梯),757
松山區,2.31,1120506,十四層,住宅大樓(11層含以上有電梯),476
北投區,75.48,1120316,二層,華廈(10層含以下有電梯),239
北投區,75.48,1120316,二層,華廈(10層含以下有電梯),239
中山區,4.79,1120519,四層,華廈(10層含以下有電梯),396
中山區,21.45,1120516,二層,住宅大樓(11層含以上有電梯),344
北投區,11.02,1120501,十層,住宅大樓(11層含以上有電梯),262
大同區,757,1120408,四層,公寓(5樓含以下無電梯),214
萬華區,16.25,1120521,四層,公寓(5樓含以下無電梯),294
萬華區,16.86,1120415,九層,住宅大樓(11層含以上有電梯),255
北投區,68.88,1120428,三層,住宅大樓(11層含以上有電梯),562
士林區,45.32,1120401,一層,住宅大樓(11層含以上有電梯),814
內湖區,90.65,1120510,二層,華廈(10層含以下有電梯),183
萬華區,31.88,1120512,一層,店面(店鋪),3681
中正區,14.71,1120505,十一層,住宅大樓(11層含以上有電梯),395
萬華區,3.65,1120517,四層,套房(1房1廳1衛),368
北投區,4.08,1120502,一層,華廈(10層含以下有電梯),627
士林區,81,1120526,全,透天厝,493
信義區,48.92,1120522,十層,辦公商業大樓,489
信義區,12.73,1120601,十八層,住宅大樓(11層含以上有電梯),712
大同區,4.18,1120527,十二層,住宅大樓(11層含以上有電梯),296
南港區,33.95,1120501,十三層,住宅大樓(11層含以上有電梯),247
大安區,37.52,1120608,二層,華廈(10層含以下有電梯),250
